name,type,dataType
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,STRING
undefined,system,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,atomic,
undefined,atomic,TIME_OF_DAY
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,system,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,atomic,
undefined,system,
undefined,atomic,
undefined,structure,
undefined,system,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,system,
undefined,structure,
undefined,structure,
undefined,system,
undefined,atomic,
undefined,structure,
undefined,atomic,
undefined,atomic,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,atomic,TIME_OF_DAY
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,system,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,atomic,TIME_OF_DAY
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,system,
undefined,structure,
undefined,atomic,
undefined,atomic,
undefined,atomic,TIME_OF_DAY
undefined,atomic,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,system,
undefined,structure,
undefined,structure,
undefined,atomic,TIME_OF_DAY
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,TIME_OF_DAY
undefined,structure,
undefined,system,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,structure,
undefined,atomic,
undefined,atomic,TIME_OF_DAY
undefined,structure,
undefined,atomic,
undefined,atomic,
undefined,structure,
undefined,structure,
undefined,structure,
undefined,system,
undefined,structure,
undefined,structure,
undefined,atomic,TIME_OF_DAY
undefined,structure,
undefined,structure,
undefined,atomic,
undefined,atomic,
